0: (30) [-1, 30, 230, -1, -1, -1, 170, 70, -1, -1, 30, 170, -1, -1, -1, -1, 160, 70, -1, 190, 170, 30, -1, -1, 240, 30, -1, -1, -1, -1]
1: (30) [10000, 0, 0, -1, 70, 10040, 0, 0, -1, 11000, 0, 0, 230, -1, -1, 11000, 0, 0, 12000, 0, 0, 0, -1, 9000, 0, 0, 240, -1, -1, -1]
2: (30) [7000, 0, 0, 14070, 0, 0, 0, 0, 30, 15000, 0, 0, 0, 240, -1, 8000, 0, 0, 15060, 0, 0, 0, 40, 18240, 0, 0, 0, 360, -1, -1]
3: (30) [-1, 16000, 0, 0, 0, 0, 6000, 0, 0, 170, -1, 17110, 0, 0, 30, -1, 10000, 0, 0, 0, 160, 16030, 0, 0, 0, 14060, 0, 0, 110, -1]
4: (30) [-1, 40, 5070, 0, 0, 160, 40, 9170, 0, 0, 19040, 0, 0, 0, 0, 150, -1, 28160, 0, 0, 0, 0, 0, 0, 15300, 0, 0, 0, 0, -1]
5: (30) [6000, 0, 0, 0, 18070, 0, 0, 0, 12000, 0, 0, 0, 14000, 0, 0, 0, 22160, 0, 0, 0, 0, 0, 17000, 0, 0, 0, 7000, 0, 0, 40]
6: (30) [3000, 0, 0, 23170, 0, 0, 0, 0, 30, 8160, 0, 0, 160, -1, 18070, 0, 0, 0, 240, 70, -1, -1, -1, 10030, 0, 0, 8160, 0, 0, 0]
7: (30) [-1, 15000, 0, 0, 0, -1, 170, 9040, 0, 0, 10160, 0, 0, 15040, 0, 0, 0, 8000, 0, 0, -1, -1, 9000, 0, 0, 22000, 0, 0, 0, 0]
8: (30) [-1, -1, 9000, 0, 0, 28060, 0, 0, 0, 0, 0, 14070, 0, 0, 0, 0, 170, 10000, 0, 0, 30, -1, 8000, 0, 0, 17000, 0, 0, 430, -1]
9: (30) [-1, 160, 100, -1, 12380, 0, 0, 0, -1, 10000, 0, 0, 17170, 0, 0, 0, 0, 15230, 0, 0, 0, 160, -1, -1, -1, -1, 9000, 0, 0, 160]
10: (30) [8000, 0, 0, 6000, 0, 0, 100, -1, -1, -1, 13000, 0, 0, 160, -1, 14000, 0, 0, 150, 10000, 0, 0, 30, 230, -1, -1, -1, 17170, 0, 0]
11: (30) [11000, 0, 0, 13100, 0, 0, 0, 240, -1, 40, 17070, 0, 0, 0, 30, -1, 14240, 0, 0, -1, 18000, 0, 0, 0, -1, -1, 19000, 0, 0, 0]
12: (30) [-1, 17000, 0, 0, 0, 11000, 0, 0, 5290, 0, 0, 40, 11000, 0, 0, 20040, 0, 0, 0, 160, -1, 7000, 0, 0, 160, -1, 10000, 0, 0, 160]
13: (30) [-1, -1, 8440, 0, 0, 27070, 0, 0, 0, 0, 0, 0, -1, 11000, 0, 0, 0, 8000, 0, 0, -1, 40, 15300, 0, 0, 70, -1, 10000, 0, 0]
14: (30) [-1, 36000, 0, 0, 0, 0, 0, 0, 0, 4040, 0, 0, -1, -1, 9000, 0, 0, 15000, 0, 0, 8000, 0, 0, 11000, 0, 0, 390, 16100, 0, 0]
15: (30) [-1, 16170, 0, 0, 0, 0, 40, 10000, 0, 0, -1, 160, 290, -1, 70, 40, -1, -1, -1, 170, 12060, 0, 0, 80, 22280, 0, 0, 0, 0, -1]
16: (30) [13000, 0, 0, -1, 3000, 0, 0, 6240, 0, 0, 14000, 0, 0, 5000, 0, 0, 170, -1, 9000, 0, 0, 35160, 0, 0, 0, 0, 0, 0, 0, -1]
17: (30) [11000, 0, 0, 160, -1, 12000, 0, 0, 30, -1, 16000, 0, 0, 12230, 0, 0, 0, 40, 38000, 0, 0, 0, 0, 0, 0, 8000, 0, 0, 230, -1]
18: (30) [-1, 15030, 0, 0, -1, -1, 8000, 0, 0, 30, -1, 16000, 0, 0, 0, 10000, 0, 0, 40, 11240, 0, 0, 5000, 0, 0, 15230, 0, 0, 0, 40]
19: (30) [14000, 0, 0, 0, -1, -1, 11000, 0, 0, 0, 40, 16000, 0, 0, 30, -1, 13000, 0, 0, 0, -1, -1, -1, 19000, 0, 0, 0, 12000, 0, 0]
20: (30) [10000, 0, 0, 420, -1, -1, -1, -1, 5000, 0, 0, 70, 9230, 0, 0, 160, 230, 10160, 0, 0, 170, -1, -1, 40, 17030, 0, 0, 7000, 0, 0]
21: (30) [-1, 11000, 0, 0, 160, -1, 290, 170, -1, 12000, 0, 0, 0, 21000, 0, 0, 0, 0, 17040, 0, 0, 170, 12160, 0, 0, 0, 90, 30, -1, -1]
22: (30) [-1, 170, 13100, 0, 0, 14000, 0, 0, -1, -1, 9000, 0, 0, -1, 24040, 0, 0, 0, 0, 28300, 0, 0, 0, 0, 0, 5000, 0, 0, 240, -1]
23: (30) [21000, 0, 0, 0, 0, 15060, 0, 0, -1, -1, 10000, 0, 0, 10170, 0, 0, 0, 12000, 0, 0, 17040, 0, 0, 160, 170, 11040, 0, 0, 0, 170]
24: (30) [16000, 0, 0, 0, 11000, 0, 0, 240, -1, 40, 30, 230, 13240, 0, 0, 0, 30, 240, 11000, 0, 0, 160, 21000, 0, 0, 0, 0, 16190, 0, 0]
25: (30) [-1, 10000, 0, 0, 16070, 0, 0, 0, 24030, 0, 0, 0, 0, 0, 12000, 0, 0, 0, 14060, 0, 0, 0, 20170, 0, 0, 0, 19070, 0, 0, 0]
26: (30) [-1, 18000, 0, 0, 0, 0, 28060, 0, 0, 0, 0, 0, 0, 230, -1, 18000, 0, 0, 0, 0, 17000, 0, 0, 60, -1, 11160, 0, 0, 230, -1]
27: (30) [-1, -1, 9000, 0, 0, 11170, 0, 0, 0, 170, 19160, 0, 0, 0, 40, -1, 10000, 0, 0, 170, 30, 10000, 0, 0, 27160, 0, 0, 0, 0, 30]
